1 completed epochs, 11700 batches	Train loss: 0.6687	Train acc: 72.5625	Test loss: 0.5996	Test acc: 75.9568
1 completed epochs, 11800 batches	Train loss: 0.6469	Train acc: 73.8125	Test loss: 0.6030	Test acc: 75.7634
1 completed epochs, 11900 batches	Train loss: 0.6799	Train acc: 71.6250	Test loss: 0.6274	Test acc: 75.1221
1 completed epochs, 12000 batches	Train loss: 0.6442	Train acc: 73.2812	Test loss: 0.5907	Test acc: 76.7915
1 completed epochs, 12100 batches	Train loss: 0.6477	Train acc: 73.0312	Test loss: 0.5793	Test acc: 76.9748
1 completed epochs, 12200 batches	Train loss: 0.6592	Train acc: 73.5000	Test loss: 0.6082	Test acc: 75.6209
1 completed epochs, 12300 batches	Train loss: 0.6753	Train acc: 72.4375	Test loss: 0.5958	Test acc: 76.1299
1 completed epochs, 12400 batches	Train loss: 0.6525	Train acc: 72.5938	Test loss: 0.6011	Test acc: 76.0892
1 completed epochs, 12500 batches	Train loss: 0.6587	Train acc: 72.3438	Test loss: 0.5935	Test acc: 75.9365
1 completed epochs, 12600 batches	Train loss: 0.6572	Train acc: 73.0312	Test loss: 0.6022	Test acc: 75.8245
1 completed epochs, 12700 batches	Train loss: 0.6408	Train acc: 73.3125	Test loss: 0.5808	Test acc: 76.6287
1 completed epochs, 12800 batches	Train loss: 0.6480	Train acc: 73.4062	Test loss: 0.5923	Test acc: 76.1401
1 completed epochs, 12900 batches	Train loss: 0.6450	Train acc: 73.9062	Test loss: 0.5908	Test acc: 76.0281
1 completed epochs, 13000 batches	Train loss: 0.6671	Train acc: 71.9688	Test loss: 0.6148	Test acc: 75.5395
1 completed epochs, 13100 batches	Train loss: 0.6500	Train acc: 73.1562	Test loss: 0.5872	Test acc: 76.6796
1 completed epochs, 13200 batches	Train loss: 0.6254	Train acc: 74.2812	Test loss: 0.5855	Test acc: 76.8526
1 completed epochs, 13300 batches	Train loss: 0.6218	Train acc: 73.9062	Test loss: 0.5639	Test acc: 77.6568
1 completed epochs, 13400 batches	Train loss: 0.6424	Train acc: 73.2812	Test loss: 0.5849	Test acc: 76.9340
1 completed epochs, 13500 batches	Train loss: 0.6318	Train acc: 74.4375	Test loss: 0.6041	Test acc: 75.8245
1 completed epochs, 13600 batches	Train loss: 0.6360	Train acc: 73.4688	Test loss: 0.5722	Test acc: 77.1580
1 completed epochs, 13700 batches	Train loss: 0.6312	Train acc: 73.4062	Test loss: 0.6017	Test acc: 75.8143
1 completed epochs, 13800 batches	Train loss: 0.6583	Train acc: 72.3438	Test loss: 0.5786	Test acc: 76.9951
1 completed epochs, 13900 batches	Train loss: 0.6193	Train acc: 74.1250	Test loss: 0.5641	Test acc: 77.3819
1 completed epochs, 14000 batches	Train loss: 0.6557	Train acc: 73.2188	Test loss: 0.5784	Test acc: 76.6897
1 completed epochs, 14100 batches	Train loss: 0.6512	Train acc: 73.4062	Test loss: 0.5910	Test acc: 76.4556
1 completed epochs, 14200 batches	Train loss: 0.6368	Train acc: 73.8125	Test loss: 0.5918	Test acc: 76.4149
1 completed epochs, 14300 batches	Train loss: 0.6239	Train acc: 74.3750	Test loss: 0.5748	Test acc: 77.0257
1 completed epochs, 14400 batches	Train loss: 0.6285	Train acc: 73.8750	Test loss: 0.5761	Test acc: 77.0562
1 completed epochs, 14500 batches	Train loss: 0.6541	Train acc: 73.3125	Test loss: 0.5678	Test acc: 77.5957
1 completed epochs, 14600 batches	Train loss: 0.6688	Train acc: 72.0312	Test loss: 0.5714	Test acc: 77.4430
1 completed epochs, 14700 batches	Train loss: 0.6631	Train acc: 72.2188	Test loss: 0.5789	Test acc: 77.3310
1 completed epochs, 14800 batches	Train loss: 0.6296	Train acc: 73.1875	Test loss: 0.5752	Test acc: 77.3616
1 completed epochs, 14900 batches	Train loss: 0.6148	Train acc: 74.4062	Test loss: 0.5725	Test acc: 77.1885
1 completed epochs, 15000 batches	Train loss: 0.6497	Train acc: 73.0938	Test loss: 0.5619	Test acc: 77.7586
1 completed epochs, 15100 batches	Train loss: 0.6374	Train acc: 73.3125	Test loss: 0.5747	Test acc: 77.3921
1 completed epochs, 15200 batches	Train loss: 0.6364	Train acc: 74.2188	Test loss: 0.5795	Test acc: 77.1885
